date,Low,Close
2011-07-04,67.56,67.7
2011-07-01,67.0,67.84
2011-06-30,66.29,67.57
2011-06-29,65.18,66.31
2011-06-28,63.77,64.72
2011-06-27,63.15,63.68
2011-06-24,64.11,64.29
2011-06-23,63.82,64.44
2011-06-22,64.86,65.27
2011-06-21,63.32,65.2
2011-06-20,61.97,62.8
2011-06-17,61.75,63.29
2011-06-16,61.9,62.85
2011-06-15,63.04,63.1
2011-06-14,63.78,64.53
2011-06-13,62.5,63.19
2011-06-10,62.99,63.15
2011-06-09,62.04,64.0
2011-06-08,61.15,62.24
2011-06-07,62.43,62.6
2011-06-06,62.16,62.86
2011-06-03,61.02,62.42
2011-06-02,61.46,61.46
2011-06-01,63.0,63.41
2011-05-31,63.0,64.26
2011-05-30,61.5,61.92
2011-05-27,60.76,61.3
2011-05-26,60.5,60.83
2011-05-25,60.32,61.17
2011-05-24,61.2,61.69
2011-05-23,60.56,61.23
2011-05-20,62.01,62.66
2011-05-19,63.42,63.58
2011-05-18,62.67,63.08
2011-05-17,62.36,62.4
2011-05-16,63.2,64.39
2011-05-13,63.96,64.06
2011-05-12,62.75,64.14
2011-05-11,64.72,64.87
2011-05-10,65.7,66.3
2011-05-09,65.4,65.64
2011-05-06,65.34,68.41
2011-05-05,65.22,66.0
2011-05-04,66.33,66.59
2011-05-03,67.8,68.62
2011-05-02,68.62,68.62
2011-04-29,68.28,69.4
2011-04-28,67.92,68.56
2011-04-27,66.57,67.83
2011-04-26,65.41,66.6
2011-04-21,65.6,65.86
2011-04-20,63.5,65.3
2011-04-19,62.19,62.33
2011-04-18,61.96,62.26
2011-04-15,63.05,64.05
2011-04-14,62.4,62.97
2011-04-13,62.59,63.05
2011-04-12,62.39,62.59
2011-04-11,63.18,64.41
2011-04-08,63.31,63.83
2011-04-07,62.91,63.11
2011-04-06,62.19,63.43
2011-04-05,61.32,62.28
2011-04-04,61.76,61.95
2011-04-01,61.28,61.89
2011-03-31,60.55,61.03
2011-03-30,59.81,60.46
2011-03-29,58.1,59.27
2011-03-28,58.69,59.09
2011-03-25,58.35,59.03
2011-03-24,56.8,58.37
2011-03-23,55.41,56.47
2011-03-22,56.21,56.46
2011-03-21,56.55,56.93
2011-03-18,55.95,56.25
2011-03-17,53.42,55.31
2011-03-16,53.63,53.96
2011-03-15,53.3,55.46
2011-03-14,57.27,57.78
2011-03-11,57.61,58.39
2011-03-10,57.87,58.73
2011-03-09,59.21,59.39
2011-03-08,59.3,59.96
2011-03-07,60.28,61.26
2011-03-04,60.18,60.6
2011-03-03,60.46,60.96
2011-03-02,59.1,60.33
2011-03-01,59.56,59.82
2011-02-28,58.96,60.26
2011-02-25,58.88,59.18
2011-02-24,58.08,59.0
2011-02-23,58.69,58.75
2011-02-22,58.32,59.49
2011-02-21,59.69,59.9
2011-02-18,60.77,61.54
2011-02-17,60.19,60.97
2011-02-16,60.3,60.3
2011-02-15,59.6,60.56
2011-02-14,58.23,59.49
2011-02-11,57.59,58.04
2011-02-10,57.5,58.53
2011-02-09,57.6,57.82
2011-02-08,57.52,57.69
2011-02-07,57.01,58.45
2011-02-04,57.12,57.35
2011-02-03,57.19,57.77
2011-02-02,57.39,58.04
2011-02-01,56.34,58.0
2011-01-31,55.75,56.18
2011-01-28,56.09,56.29
2011-01-27,57.21,57.41
2011-01-26,56.17,57.22
2011-01-25,55.2,56.12
2011-01-24,54.27,55.93
2011-01-21,55.16,56.64
2011-01-20,55.15,55.65
2011-01-19,55.68,55.95
2011-01-18,57.17,57.41
2011-01-17,56.91,57.15
2011-01-14,56.91,57.57
2011-01-13,57.09,58.42
2011-01-12,57.25,58.57
2011-01-11,56.5,57.07
2011-01-10,56.68,56.78
2011-01-07,56.89,57.1
2011-01-06,57.62,57.94
2011-01-05,56.21,57.89
2011-01-04,58.52,58.8
2011-01-03,60.23,60.42
2010-12-30,59.58,59.7
2010-12-29,60.73,61.35
2010-12-28,60.45,60.6
2010-12-27,60.14,60.66
2010-12-23,61.02,61.42
2010-12-22,61.26,61.61
2010-12-21,61.14,61.71
